"sample","virus","viral_only_reads","disease","cell_type"
"SRR22753365","combined_herpes_viruses","138","Juvenile Dermatomyositis","CD4"
"SRR22753365","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HHV6B","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HSV1_KOS","167","Juvenile Dermatomyositis","CD4"
"SRR22753365","HSV2_StrainG","4","Juvenile Dermatomyositis","CD4"
"SRR22753365","KSHV","7","Juvenile Dermatomyositis","CD4"
"SRR22753365","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753366","combined_herpes_viruses","227","Juvenile Dermatomyositis","CD19"
"SRR22753366","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HCMV","2","Juvenile Dermatomyositis","CD19"
"SRR22753366","HHV6B","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HSV1_KOS","293","Juvenile Dermatomyositis","CD19"
"SRR22753366","HSV2_StrainG","1","Juvenile Dermatomyositis","CD19"
"SRR22753366","KSHV","18","Juvenile Dermatomyositis","CD19"
"SRR22753366","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","combined_herpes_viruses","83","Juvenile Dermatomyositis","CD19"
"SRR22753367","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HHV6B","3","Juvenile Dermatomyositis","CD19"
"SRR22753367","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HSV1_KOS","101","Juvenile Dermatomyositis","CD19"
"SRR22753367","HSV2_StrainG","7","Juvenile Dermatomyositis","CD19"
"SRR22753367","KSHV","6","Juvenile Dermatomyositis","CD19"
"SRR22753367","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753368","combined_herpes_viruses","86","Juvenile Dermatomyositis","CD4"
"SRR22753368","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753368","HCMV","2","Juvenile Dermatomyositis","CD4"
"SRR22753368","HHV6B","1","Juvenile Dermatomyositis","CD4"
"SRR22753368","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753368","HSV1_KOS","126","Juvenile Dermatomyositis","CD4"
"SRR22753368","HSV2_StrainG","3","Juvenile Dermatomyositis","CD4"
"SRR22753368","KSHV","4","Juvenile Dermatomyositis","CD4"
"SRR22753368","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753369","combined_herpes_viruses","4","Juvenile Dermatomyositis","PBMC"
"SRR22753369","EBV","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HCMV","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HHV6B","15","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HHV7","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HSV1_KOS","5","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HSV2_StrainG","16","Juvenile Dermatomyositis","PBMC"
"SRR22753369","KSHV","13","Juvenile Dermatomyositis","PBMC"
"SRR22753369","VZV_Ellen","0","Juvenile Dermatomyositis","PBMC"
"SRR22753370","combined_herpes_viruses","3","Control","CD19"
"SRR22753370","EBV","0","Control","CD19"
"SRR22753370","HCMV","0","Control","CD19"
"SRR22753370","HHV6B","0","Control","CD19"
"SRR22753370","HHV7","0","Control","CD19"
"SRR22753370","HSV1_KOS","8","Control","CD19"
"SRR22753370","HSV2_StrainG","1","Control","CD19"
"SRR22753370","KSHV","3","Control","CD19"
"SRR22753370","VZV_Ellen","0","Control","CD19"
"SRR22753371","combined_herpes_viruses","2","Control","CD19"
"SRR22753371","EBV","0","Control","CD19"
"SRR22753371","HCMV","0","Control","CD19"
"SRR22753371","HHV6B","1","Control","CD19"
"SRR22753371","HHV7","0","Control","CD19"
"SRR22753371","HSV1_KOS","6","Control","CD19"
"SRR22753371","HSV2_StrainG","5","Control","CD19"
"SRR22753371","KSHV","1","Control","CD19"
"SRR22753371","VZV_Ellen","0","Control","CD19"
"SRR22753372","combined_herpes_viruses","7","Control","CD19"
"SRR22753372","EBV","0","Control","CD19"
"SRR22753372","HCMV","0","Control","CD19"
"SRR22753372","HHV6B","1","Control","CD19"
"SRR22753372","HHV7","0","Control","CD19"
"SRR22753372","HSV1_KOS","11","Control","CD19"
"SRR22753372","HSV2_StrainG","1","Control","CD19"
"SRR22753372","KSHV","1","Control","CD19"
