"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753365","combined_herpes_viruses","0","-nan%"
"SRR22753365","EBV","0","-nan%"
"SRR22753365","HCMV","0","-nan%"
"SRR22753365","HHV6B","0","-nan%"
"SRR22753365","HHV7","0","-nan%"
"SRR22753365","HSV1_KOS","15","2.91%"
"SRR22753365","HSV2_StrainG","0","-nan%"
"SRR22753365","KSHV","3","7.61%"
"SRR22753365","VZV_Ellen","0","-nan%"
"SRR22753366","combined_herpes_viruses","0","-nan%"
"SRR22753366","EBV","0","-nan%"
"SRR22753366","HCMV","0","-nan%"
"SRR22753366","HHV6B","0","-nan%"
"SRR22753366","HHV7","0","-nan%"
"SRR22753366","HSV1_KOS","43","3.59%"
"SRR22753366","HSV2_StrainG","0","-nan%"
"SRR22753366","KSHV","5","4.32%"
"SRR22753366","VZV_Ellen","0","-nan%"
"SRR22753367","combined_herpes_viruses","0","-nan%"
"SRR22753367","EBV","0","-nan%"
"SRR22753367","HCMV","0","-nan%"
"SRR22753367","HHV6B","0","-nan%"
"SRR22753367","HHV7","0","-nan%"
"SRR22753367","HSV1_KOS","8","3.09%"
"SRR22753367","HSV2_StrainG","1","10.39%"
"SRR22753367","KSHV","2","9.43%"
"SRR22753367","VZV_Ellen","0","-nan%"
"SRR22753368","combined_herpes_viruses","0","-nan%"
"SRR22753368","EBV","0","-nan%"
"SRR22753368","HCMV","0","-nan%"
"SRR22753368","HHV6B","0","-nan%"
"SRR22753368","HHV7","0","-nan%"
"SRR22753368","HSV1_KOS","17","2.53%"
"SRR22753368","HSV2_StrainG","1","9.46%"
"SRR22753368","KSHV","1","2.82%"
"SRR22753368","VZV_Ellen","0","-nan%"
"SRR22753369","combined_herpes_viruses","0","-nan%"
"SRR22753369","EBV","0","-nan%"
"SRR22753369","HCMV","0","-nan%"
"SRR22753369","HHV6B","1","7.79%"
"SRR22753369","HHV7","0","-nan%"
"SRR22753369","HSV1_KOS","1","4.00%"
"SRR22753369","HSV2_StrainG","4","7.97%"
"SRR22753369","KSHV","4","10.70%"
"SRR22753369","VZV_Ellen","0","-nan%"
"SRR22753370","combined_herpes_viruses","0","-nan%"
"SRR22753370","EBV","0","-nan%"
"SRR22753370","HCMV","0","-nan%"
"SRR22753370","HHV6B","0","-nan%"
"SRR22753370","HHV7","0","-nan%"
"SRR22753370","HSV1_KOS","1","5.19%"
"SRR22753370","HSV2_StrainG","0","-nan%"
"SRR22753370","KSHV","3","5.83%"
"SRR22753370","VZV_Ellen","0","-nan%"
"SRR22753371","combined_herpes_viruses","0","-nan%"
"SRR22753371","EBV","0","-nan%"
"SRR22753371","HCMV","0","-nan%"
"SRR22753371","HHV6B","1","10.13%"
"SRR22753371","HHV7","0","-nan%"
"SRR22753371","HSV1_KOS","2","3.88%"
"SRR22753371","HSV2_StrainG","1","5.26%"
"SRR22753371","KSHV","1","8.00%"
"SRR22753371","VZV_Ellen","0","-nan%"
"SRR22753372","combined_herpes_viruses","0","-nan%"
"SRR22753372","EBV","0","-nan%"
"SRR22753372","HCMV","0","-nan%"
"SRR22753372","HHV6B","0","-nan%"
"SRR22753372","HHV7","0","-nan%"
"SRR22753372","HSV1_KOS","4","4.98%"
"SRR22753372","HSV2_StrainG","0","-nan%"
"SRR22753372","KSHV","0","-nan%"
"SRR22753372","VZV_Ellen","0","-nan%"
"SRR22753373","combined_herpes_viruses","0","-nan%"
"SRR22753373","EBV","0","-nan%"
"SRR22753373","HCMV","0","-nan%"
"SRR22753373","HHV6B","0","-nan%"
"SRR22753373","HHV7","0","-nan%"
"SRR22753373","HSV1_KOS","1","7.59%"
"SRR22753373","HSV2_StrainG","2","8.75%"
"SRR22753373","KSHV","1","6.02%"
"SRR22753373","VZV_Ellen","0","-nan%"
"SRR22753374","combined_herpes_viruses","0","-nan%"
"SRR22753374","EBV","0","-nan%"
"SRR22753374","HCMV","0","-nan%"
"SRR22753374","HHV6B","0","-nan%"
"SRR22753374","HHV7","0","-nan%"
"SRR22753374","HSV1_KOS","0","-nan%"
"SRR22753374","HSV2_StrainG","2","7.69%"
"SRR22753374","KSHV","2","8.39%"
"SRR22753374","VZV_Ellen","0","-nan%"
"SRR22753375","combined_herpes_viruses","0","-nan%"
"SRR22753375","EBV","0","-nan%"
"SRR22753375","HCMV","0","-nan%"
"SRR22753375","HHV6B","0","-nan%"
"SRR22753375","HHV7","0","-nan%"
"SRR22753375","HSV1_KOS","6","4.46%"
"SRR22753375","HSV2_StrainG","1","7.89%"
"SRR22753375","KSHV","3","7.66%"
"SRR22753375","VZV_Ellen","0","-nan%"
"SRR22753376","combined_herpes_viruses","0","-nan%"
"SRR22753376","EBV","0","-nan%"
"SRR22753376","HCMV","0","-nan%"
"SRR22753376","HHV6B","0","-nan%"
"SRR22753376","HHV7","0","-nan%"
"SRR22753376","HSV1_KOS","5","2.12%"
"SRR22753376","HSV2_StrainG","2","8.22%"
"SRR22753376","KSHV","5","8.44%"
"SRR22753376","VZV_Ellen","0","-nan%"
"SRR22753377","combined_herpes_viruses","0","-nan%"
"SRR22753377","EBV","0","-nan%"
"SRR22753377","HCMV","0","-nan%"
"SRR22753377","HHV6B","0","-nan%"
"SRR22753377","HHV7","0","-nan%"
"SRR22753377","HSV1_KOS","8","3.26%"
"SRR22753377","HSV2_StrainG","2","7.59%"
"SRR22753377","KSHV","1","9.46%"
"SRR22753377","VZV_Ellen","0","-nan%"
"SRR22753378","combined_herpes_viruses","0","-nan%"
"SRR22753378","EBV","0","-nan%"
"SRR22753378","HCMV","0","-nan%"
"SRR22753378","HHV6B","1","7.69%"
"SRR22753378","HHV7","0","-nan%"
"SRR22753378","HSV1_KOS","7","6.48%"
"SRR22753378","HSV2_StrainG","0","-nan%"
"SRR22753378","KSHV","3","6.61%"
"SRR22753378","VZV_Ellen","0","-nan%"
"SRR22753379","combined_herpes_viruses","0","-nan%"
"SRR22753379","EBV","0","-nan%"
"SRR22753379","HCMV","0","-nan%"
"SRR22753379","HHV6B","1","8.00%"
"SRR22753379","HHV7","0","-nan%"
"SRR22753379","HSV1_KOS","13","5.69%"
"SRR22753379","HSV2_StrainG","2","9.80%"
"SRR22753379","KSHV","3","9.58%"
