"sample","virus","uniquely_mapped_reads","multi_mapped_reads","total_mapped_reads","disease","cell_type"
"SRR22753365","combined_herpes_viruses","	11","	124","135","Juvenile Dermatomyositis","CD4"
"SRR22753365","EBV","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HCMV","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HHV6B","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HHV7","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753365","HSV1_KOS","	15","	153","168","Juvenile Dermatomyositis","CD4"
"SRR22753365","HSV2_StrainG","	0","	3","3","Juvenile Dermatomyositis","CD4"
"SRR22753365","KSHV","	3","	2","5","Juvenile Dermatomyositis","CD4"
"SRR22753365","VZV_Ellen","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753366","combined_herpes_viruses","	19","	203","222","Juvenile Dermatomyositis","CD19"
"SRR22753366","EBV","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HCMV","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HHV6B","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HHV7","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753366","HSV1_KOS","	43","	245","288","Juvenile Dermatomyositis","CD19"
"SRR22753366","HSV2_StrainG","	0","	1","1","Juvenile Dermatomyositis","CD19"
"SRR22753366","KSHV","	5","	4","9","Juvenile Dermatomyositis","CD19"
"SRR22753366","VZV_Ellen","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","combined_herpes_viruses","	6","	75","81","Juvenile Dermatomyositis","CD19"
"SRR22753367","EBV","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HCMV","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HHV6B","	0","	2","2","Juvenile Dermatomyositis","CD19"
"SRR22753367","HHV7","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753367","HSV1_KOS","	8","	88","96","Juvenile Dermatomyositis","CD19"
"SRR22753367","HSV2_StrainG","	1","	0","1","Juvenile Dermatomyositis","CD19"
"SRR22753367","KSHV","	2","	0","2","Juvenile Dermatomyositis","CD19"
"SRR22753367","VZV_Ellen","	0","	0","0","Juvenile Dermatomyositis","CD19"
"SRR22753368","combined_herpes_viruses","	14","	69","83","Juvenile Dermatomyositis","CD4"
"SRR22753368","EBV","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753368","HCMV","	0","	1","1","Juvenile Dermatomyositis","CD4"
"SRR22753368","HHV6B","	0","	1","1","Juvenile Dermatomyositis","CD4"
"SRR22753368","HHV7","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753368","HSV1_KOS","	17","	106","123","Juvenile Dermatomyositis","CD4"
"SRR22753368","HSV2_StrainG","	1","	2","3","Juvenile Dermatomyositis","CD4"
"SRR22753368","KSHV","	1","	3","4","Juvenile Dermatomyositis","CD4"
"SRR22753368","VZV_Ellen","	0","	0","0","Juvenile Dermatomyositis","CD4"
"SRR22753369","combined_herpes_viruses","	2","	4","6","Juvenile Dermatomyositis","PBMC"
"SRR22753369","EBV","	0","	0","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HCMV","	0","	0","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HHV6B","	1","	6","7","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HHV7","	0","	0","0","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HSV1_KOS","	1","	3","4","Juvenile Dermatomyositis","PBMC"
"SRR22753369","HSV2_StrainG","	4","	4","8","Juvenile Dermatomyositis","PBMC"
"SRR22753369","KSHV","	4","	3","7","Juvenile Dermatomyositis","PBMC"
"SRR22753369","VZV_Ellen","	0","	0","0","Juvenile Dermatomyositis","PBMC"
"SRR22753370","combined_herpes_viruses","	0","	3","3","Control","CD19"
"SRR22753370","EBV","	0","	0","0","Control","CD19"
"SRR22753370","HCMV","	0","	0","0","Control","CD19"
"SRR22753370","HHV6B","	0","	0","0","Control","CD19"
"SRR22753370","HHV7","	0","	0","0","Control","CD19"
"SRR22753370","HSV1_KOS","	1","	7","8","Control","CD19"
"SRR22753370","HSV2_StrainG","	0","	1","1","Control","CD19"
"SRR22753370","KSHV","	3","	0","3","Control","CD19"
"SRR22753370","VZV_Ellen","	0","	0","0","Control","CD19"
"SRR22753371","combined_herpes_viruses","	1","	1","2","Control","CD19"
"SRR22753371","EBV","	0","	0","0","Control","CD19"
"SRR22753371","HCMV","	0","	0","0","Control","CD19"
"SRR22753371","HHV6B","	1","	0","1","Control","CD19"
"SRR22753371","HHV7","	0","	0","0","Control","CD19"
"SRR22753371","HSV1_KOS","	2","	5","7","Control","CD19"
"SRR22753371","HSV2_StrainG","	1","	3","4","Control","CD19"
"SRR22753371","KSHV","	1","	0","1","Control","CD19"
"SRR22753371","VZV_Ellen","	0","	0","0","Control","CD19"
"SRR22753372","combined_herpes_viruses","	2","	5","7","Control","CD19"
"SRR22753372","EBV","	0","	0","0","Control","CD19"
"SRR22753372","HCMV","	0","	0","0","Control","CD19"
"SRR22753372","HHV6B","	0","	1","1","Control","CD19"
"SRR22753372","HHV7","	0","	0","0","Control","CD19"
"SRR22753372","HSV1_KOS","	4","	6","10","Control","CD19"
"SRR22753372","HSV2_StrainG","	0","	1","1","Control","CD19"
"SRR22753372","KSHV","	0","	1","1","Control","CD19"
"SRR22753372","VZV_Ellen","	0","	0","0","Control","CD19"
"SRR22753373","combined_herpes_viruses","	0","	3","3","Control","CD19"
"SRR22753373","EBV","	0","	0","0","Control","CD19"
"SRR22753373","HCMV","	0","	0","0","Control","CD19"
"SRR22753373","HHV6B","	0","	0","0","Control","CD19"
"SRR22753373","HHV7","	0","	0","0","Control","CD19"
"SRR22753373","HSV1_KOS","	1","	4","5","Control","CD19"
"SRR22753373","HSV2_StrainG","	2","	1","3","Control","CD19"
"SRR22753373","KSHV","	1","	0","1","Control","CD19"
"SRR22753373","VZV_Ellen","	0","	0","0","Control","CD19"
"SRR22753374","combined_herpes_viruses","	0","	22","22","Control","CD14"
"SRR22753374","EBV","	0","	0","0","Control","CD14"
"SRR22753374","HCMV","	0","	0","0","Control","CD14"
"SRR22753374","HHV6B","	0","	1","1","Control","CD14"
